order_id,customer_id,store_id,employee_id,order_date,total_amount
134,2179,4,23,2024-07-14,13.46
135,2206,13,78,2024-11-06,12.51
136,6640,44,260,2024-09-12,23.06
137,4094,27,160,2024-11-08,10.65
138,8758,47,281,2024-04-29,16.88
139,1807,15,87,2024-07-13,78.99
140,5955,40,237,2024-06-29,22.86
141,9465,48,285,2024-05-30,57.20
142,5041,3,14,2024-01-27,15.95
143,4143,15,85,2024-11-11,70.82
144,7196,10,57,2024-06-15,28.52
145,5348,22,128,2024-06-06,14.34
146,1742,27,159,2024-12-09,11.83
147,9160,36,211,2024-02-14,22.32
148,6840,28,165,2024-03-11,19.38
149,3060,47,281,2024-02-15,25.99
150,5216,32,188,2024-11-07,8.41
151,3560,33,196,2024-04-24,23.11
152,3708,34,200,2024-09-23,14.96
153,4450,21,122,2024-02-04,28.18
154,1200,20,120,2024-06-26,35.78
155,2497,8,46,2024-12-30,23.77
156,5058,18,106,2024-04-22,21.40
157,6436,50,300,2024-02-21,17.35
158,4361,39,232,2024-07-22,37.60
159,9523,17,100,2024-11-26,27.29
160,7370,30,178,2024-04-27,15.80
161,2461,15,90,2024-07-18,13.69
162,7820,43,257,2024-11-29,70.89
163,4747,3,15,2024-05-07,24.66
164,2944,19,112,2024-04-10,19.60
165,8156,14,81,2024-11-03,14.76
166,9989,11,66,2024-07-26,17.82
167,3524,37,218,2024-08-13,18.92
168,4362,37,220,2024-03-07,28.55
169,4302,1,5,2024-08-09,23.56
170,3335,44,264,2024-05-09,21.63
171,7565,12,72,2024-07-22,26.55
172,6862,2,8,2024-06-04,25.56
173,1151,44,260,2024-02-25,29.71
174,9571,46,275,2024-05-24,62.86
175,1863,4,19,2024-09-20,32.42
176,3540,9,50,2024-03-14,16.52
177,7831,49,289,2024-01-24,32.82
178,5003,19,113,2024-04-05,23.44
179,6183,48,285,2024-05-27,24.96
180,8582,26,151,2024-05-22,13.69
181,5464,39,234,2024-04-25,22.92
182,3410,25,147,2024-01-22,34.11
183,3694,10,60,2024-07-03,34.83
184,1130,7,39,2024-06-21,29.46
185,282,45,269,2024-09-18,24.86
186,3671,40,236,2024-01-09,27.97
187,8751,42,248,2024-09-08,16.89
188,6996,31,184,2024-06-30,23.94
189,6835,14,79,2024-06-13,22.92
190,6819,48,286,2024-02-29,12.03
191,4202,19,113,2024-06-15,77.13
192,7360,45,269,2024-04-23,25.35
193,1707,38,225,2024-03-29,5.61
194,2803,44,261,2024-09-07,42.66
195,9582,40,238,2024-11-17,76.72
196,916,21,125,2024-12-11,17.14
197,3407,37,222,2024-09-10,17.01
198,1223,36,215,2024-09-19,12.90
199,8874,43,257,2024-01-28,12.54
200,1553,27,158,2024-01-07,54.82
201,986,5,26,2024-02-02,14.94
202,593,12,69,2024-12-26,55.69
203,8243,30,175,2024-01-18,11.77
204,7706,39,234,2024-08-23,13.66
205,9709,31,186,2024-11-16,92.19
206,7527,34,199,2024-10-30,23.87
207,6203,17,101,2024-08-29,15.39
208,8667,1,4,2024-10-21,47.72
209,4567,17,101,2024-02-18,22.40
210,187,22,127,2024-12-25,20.38
211,7935,13,73,2024-05-25,25.25
212,7731,1,5,2024-06-26,35.51
213,3205,20,120,2024-06-17,48.26
214,5528,4,23,2024-02-12,34.73
215,9431,13,73,2024-10-20,19.54
216,7553,32,189,2024-06-12,32.00
217,4513,47,278,2024-11-09,30.57
218,5467,46,275,2024-11-13,31.04
219,8064,25,150,2024-10-23,33.27
220,7806,2,9,2024-12-02,6.12
221,273,46,274,2024-04-29,21.18
222,2199,42,250,2024-09-11,23.67
223,5143,30,176,2024-11-28,35.40
224,8529,16,94,2024-08-07,10.34
225,8826,14,79,2024-01-30,14.06
226,7953,28,168,2024-10-25,33.20
227,4710,6,31,2024-06-27,31.33
228,6182,32,191,2024-01-07,74.47
229,4055,14,81,2024-02-16,53.04
230,271,49,292,2024-02-11,24.18
231,7740,24,139,2024-12-16,52.64
232,4849,16,94,2024-05-06,15.42
233,1189,26,153,2024-01-12,47.28
234,9759,22,131,2024-10-12,28.68
235,1686,3,14,2024-03-29,26.84
236,6621,14,84,2024-05-17,13.44
237,2204,25,146,2024-11-27,26.57
238,9929,17,98,2024-06-10,25.08
239,2432,20,116,2024-10-07,10.46
240,7855,23,137,2024-05-12,16.79
241,2311,41,245,2024-11-17,24.71
242,9420,48,286,2024-07-03,28.61
243,7903,24,141,2024-11-01,29.20
244,5686,46,274,2024-06-22,27.33
245,4849,18,108,2024-02-11,8.37
246,9409,36,212,2024-10-12,23.51
247,5696,27,158,2024-07-27,18.21
248,6025,19,109,2024-05-16,29.87
249,1717,43,255,2024-05-14,19.70
250,7604,18,106,2024-08-11,31.47
251,8312,26,153,2024-10-05,19.23
252,2361,40,239,2024-12-04,23.78
253,3606,8,45,2024-07-21,27.41
254,6781,5,27,2024-05-15,8.04
255,5954,23,137,2024-08-01,19.92
256,6942,6,34,2024-09-27,47.30
257,5711,6,36,2024-06-12,9.87
258,7405,48,284,2024-02-08,17.69
259,3283,3,17,2024-01-23,9.18
260,8615,45,270,2024-08-28,32.74
261,8533,5,27,2024-12-28,43.61
262,4973,45,267,2024-02-04,31.27
263,6391,2,11,2024-04-15,66.94
264,1647,17,99,2024-04-05,25.50
265,2961,41,241,2024-08-20,61.62
266,8371,29,174,2024-12-01,32.16
267,2948,31,186,2024-04-26,23.87
268,725,8,45,2024-01-07,71.43
269,320,43,256,2024-12-06,12.39
270,840,40,238,2024-09-12,23.46
271,965,32,191,2024-07-20,16.97
272,9780,18,108,2024-05-20,13.97
273,6957,36,212,2024-05-01,30.56
274,8422,36,216,2024-08-22,34.37
275,5366,42,248,2024-04-09,31.20
276,2392,30,175,2024-06-23,31.07
277,6168,33,195,2024-01-25,24.67
278,2870,11,64,2024-02-07,21.34
279,813,44,261,2024-03-21,12.98
280,7514,50,295,2024-01-01,20.78
281,2782,43,253,2024-12-02,20.67
282,2994,37,222,2024-06-05,29.25
283,2018,46,276,2024-10-15,25.82
284,2784,19,112,2024-04-03,13.15
285,5573,20,120,2024-01-05,21.54
286,1143,24,143,2024-08-15,34.25
287,1060,45,268,2024-01-01,9.83
288,8923,18,106,2024-05-20,13.92
289,4516,14,80,2024-06-27,29.92
290,4687,41,245,2024-08-08,22.84
291,9396,7,37,2024-08-20,31.38
292,6022,41,242,2024-09-13,29.98
293,5005,28,168,2024-06-08,26.17
294,6321,17,99,2024-11-20,16.42
295,7932,29,172,2024-07-19,12.48
296,1674,22,132,2024-02-07,12.90
297,983,18,105,2024-06-20,24.42
298,1350,11,63,2024-07-13,39.12
299,557,17,102,2024-12-10,38.12
300,7120,9,51,2024-01-01,75.28
301,5314,45,265,2024-08-15,73.51
302,220,16,92,2024-09-16,8.22
303,979,10,59,2024-10-18,16.83
304,3588,39,231,2024-02-09,10.30
305,1837,16,95,2024-01-28,24.52
306,5551,10,55,2024-04-08,23.72
307,9409,47,277,2024-08-24,18.88
308,2107,12,70,2024-03-06,10.75
309,5978,46,274,2024-07-17,53.83
310,8348,19,111,2024-08-04,18.31
311,3871,27,157,2024-06-20,29.37
312,2355,10,58,2024-08-15,29.47
313,1333,44,261,2024-02-19,41.38
314,1381,15,87,2024-01-06,68.42
315,2463,46,276,2024-02-27,39.46
316,3037,47,279,2024-12-07,65.82
317,9030,7,38,2024-06-25,13.94
318,6455,44,259,2024-03-16,15.80
319,360,47,281,2024-09-07,25.11
320,4180,30,176,2024-08-06,30.37
321,1247,11,62,2024-02-21,30.06
322,4296,9,50,2024-11-09,40.14
323,6205,33,195,2024-10-04,26.28
324,5770,49,290,2024-12-23,35.91
325,1394,22,127,2024-07-20,71.34
326,907,49,290,2024-04-14,33.63
327,2948,18,105,2024-10-07,78.42
328,9878,16,92,2024-08-01,19.57
329,9654,23,138,2024-03-24,10.12
330,3971,42,252,2024-12-07,12.47
331,6661,42,248,2024-01-01,11.22
332,1216,23,136,2024-02-19,59.10
333,2091,20,119,2024-08-08,37.58
334,1789,40,237,2024-07-05,67.96
335,5762,23,135,2024-11-30,28.48
336,6285,26,153,2024-09-26,23.15
337,1807,33,197,2024-03-27,44.54
338,4053,16,91,2024-05-26,20.13
339,7579,43,254,2024-12-19,55.92
340,7133,42,248,2024-03-08,12.92
341,7829,34,202,2024-05-04,13.47
342,5597,11,61,2024-02-01,14.94
343,854,27,157,2024-10-15,22.88
344,9019,46,272,2024-01-09,28.07
345,4747,17,99,2024-08-20,19.24
346,4897,44,259,2024-09-13,25.87
347,7109,4,22,2024-01-25,20.32
348,409,50,295,2024-06-03,19.58
349,1211,5,26,2024-01-23,9.31
350,4098,2,7,2024-12-19,22.47
351,8776,49,294,2024-02-19,15.85
352,4146,5,29,2024-08-06,34.00
353,8928,4,19,2024-07-21,73.68
354,1034,3,14,2024-10-24,18.68
355,6430,11,64,2024-11-11,14.11
356,1260,6,36,2024-03-06,15.38
357,9272,17,102,2024-07-03,9.32
358,9343,4,23,2024-01-13,60.96
359,529,27,161,2024-10-28,20.67
360,1101,26,152,2024-11-24,24.75
361,8796,50,295,2024-11-19,64.39
362,5632,20,116,2024-07-11,36.47
363,7243,46,271,2024-04-18,6.53
364,7846,10,59,2024-05-18,46.41
365,9220,47,282,2024-12-11,44.27
366,9665,9,49,2024-07-08,5.01
367,9932,45,269,2024-08-25,16.43
368,4571,5,30,2024-09-26,55.83
369,2957,42,247,2024-11-20,33.88
370,7619,37,222,2024-07-25,6.45
371,1547,5,27,2024-01-15,23.09
372,696,13,74,2024-04-09,18.57
373,3412,10,55,2024-02-09,27.40
374,4950,29,170,2024-10-22,43.85
375,4376,14,83,2024-04-14,21.24
376,5904,26,152,2024-12-22,9.43
377,4910,11,62,2024-09-14,52.17
378,8502,34,201,2024-09-12,68.24
379,6756,37,218,2024-11-23,45.85
380,5550,21,124,2024-10-15,11.59
381,5708,5,28,2024-11-03,12.49
382,8364,27,162,2024-01-10,23.24
383,8009,48,287,2024-08-16,43.19
384,2273,32,191,2024-02-29,9.47
385,4628,26,151,2024-05-20,10.12
386,1418,17,102,2024-06-13,18.39
387,2273,15,87,2024-11-05,13.83
388,9962,17,102,2024-04-25,21.11
389,6527,46,271,2024-06-26,16.46
390,2208,19,111,2024-12-10,14.56
391,8764,9,52,2024-05-07,25.49
392,4286,16,94,2024-01-06,36.39
393,1898,4,22,2024-10-23,36.08
394,2821,29,173,2024-06-24,28.96
395,4944,35,209,2024-09-30,34.46
396,8672,33,195,2024-07-14,68.72
397,6809,15,85,2024-01-25,34.98
398,7021,10,56,2024-01-05,18.52
399,4949,11,63,2024-12-16,43.81
400,9857,21,125,2024-01-25,14.59
401,1324,28,167,2024-12-19,25.77
402,9408,21,124,2024-02-29,54.24
403,8238,45,266,2024-12-13,56.22
404,1394,22,130,2024-07-11,13.11
405,4354,50,296,2024-12-27,45.06
406,9466,21,123,2024-05-09,54.09
407,8541,45,269,2024-10-27,20.43
408,5099,15,87,2024-08-11,18.06
409,2366,31,184,2024-01-27,20.02
410,6279,35,208,2024-02-27,27.91
411,5305,34,201,2024-01-15,17.50
412,4190,12,67,2024-07-29,18.74
413,3242,11,63,2024-10-08,9.37
414,997,27,159,2024-06-21,36.24
415,3182,50,298,2024-09-02,10.28
416,4896,41,246,2024-01-19,35.04
417,6833,12,72,2024-06-28,17.52
418,9982,44,264,2024-11-01,8.17
419,4435,43,255,2024-04-09,13.94
420,4540,31,182,2024-04-07,16.04
421,7957,47,280,2024-10-18,10.42
422,4635,12,69,2024-05-02,26.13
423,1224,34,199,2024-09-27,17.02
424,5327,37,218,2024-06-28,28.98
425,1636,12,70,2024-10-18,39.56
426,4086,3,17,2024-05-28,27.33
427,5801,2,11,2024-07-19,8.93
428,8075,6,35,2024-02-04,38.06
429,6481,6,35,2024-02-24,124.18
430,9288,33,198,2024-01-20,19.94
431,4106,20,115,2024-10-20,71.71
432,1820,38,223,2024-11-16,38.35
433,3643,19,111,2024-04-21,25.10
434,6857,2,12,2024-02-06,35.01
435,5694,43,257,2024-07-03,29.49
436,788,9,52,2024-06-05,14.65
437,3225,18,105,2024-01-24,12.66
438,4992,32,192,2024-03-08,24.97
439,2418,27,157,2024-08-25,30.73
440,2271,22,131,2024-04-26,13.78
441,2214,14,80,2024-12-25,16.31
442,6599,13,74,2024-02-08,46.76
443,3465,47,278,2024-07-18,24.82
444,4650,50,296,2024-04-27,23.96
445,6456,48,287,2024-12-03,43.26
446,3616,23,136,2024-07-25,20.08
447,8724,38,227,2024-11-27,17.02
448,6721,3,14,2024-12-16,10.80
449,7823,5,29,2024-01-06,68.52
450,3372,41,245,2024-05-01,16.37
451,9323,34,204,2024-08-18,24.80
452,208,10,59,2024-06-30,30.09
453,4222,14,80,2024-08-16,16.87
454,6013,22,129,2024-10-22,45.89
455,7141,7,40,2024-12-04,17.87
456,7293,44,260,2024-09-14,18.24
457,3677,44,259,2024-10-08,15.03
458,4688,41,241,2024-10-28,64.70
459,4201,5,26,2024-12-24,20.21
460,1975,12,69,2024-04-21,29.28
461,6415,10,57,2024-06-05,26.33
462,3435,27,157,2024-03-12,28.34
463,4412,19,109,2024-03-21,15.16
464,8613,24,142,2024-02-11,10.47
465,9610,17,97,2024-08-20,32.03
466,7271,46,272,2024-06-10,11.21
467,2431,16,92,2024-07-29,11.69
468,1439,31,182,2024-07-08,6.28
469,2657,27,157,2024-12-22,85.53
470,8936,7,42,2024-09-24,44.11
471,4786,24,143,2024-01-28,15.97
472,7789,2,11,2024-03-07,17.94
473,8652,31,185,2024-09-17,72.96
474,7968,31,183,2024-08-03,18.63
475,3190,26,156,2024-05-12,80.56
476,3913,6,35,2024-09-14,34.25
477,7695,32,192,2024-02-28,21.45
478,1877,3,15,2024-11-13,10.76
479,7397,21,126,2024-11-26,19.16
480,4089,5,26,2024-03-19,17.30
481,8239,45,266,2024-04-30,32.63
482,4615,30,175,2024-06-25,9.79
483,109,32,192,2024-03-01,23.29
484,4140,19,109,2024-10-11,41.64
485,4635,29,170,2024-12-13,20.77
486,3766,49,291,2024-06-25,5.76
487,5251,38,224,2024-11-21,23.53
488,4527,24,141,2024-09-20,29.30
489,5745,34,199,2024-11-20,41.96
490,8601,38,225,2024-10-31,22.53
491,6644,36,214,2024-04-18,67.25
492,5550,46,271,2024-11-20,15.57
493,398,19,113,2024-08-04,22.12
494,7445,39,232,2024-05-07,13.89
495,2308,35,206,2024-07-05,32.59
496,8133,46,276,2024-05-24,19.54
497,3654,44,261,2024-06-06,26.12
498,8860,49,289,2024-08-12,8.73
499,7096,21,122,2024-02-21,30.32
500,4475,30,180,2024-05-15,52.24
501,4032,31,184,2024-06-13,61.54
502,8958,19,114,2024-09-09,69.86
503,2448,36,211,2024-03-12,36.92
504,721,36,212,2024-04-03,39.82
505,3061,38,227,2024-11-28,36.71
506,3037,9,53,2024-04-28,23.05
507,8333,17,101,2024-01-10,7.89
508,7923,38,227,2024-06-05,57.61
509,6449,7,38,2024-12-03,67.21
510,5441,22,129,2024-07-21,7.96
511,7699,33,197,2024-03-01,8.17
512,8341,46,272,2024-03-16,12.77
513,6979,49,289,2024-08-04,26.56
514,1407,7,41,2024-03-24,37.58
515,8033,44,259,2024-10-03,40.20
516,5822,33,198,2024-12-01,37.86
517,2427,22,128,2024-07-17,30.39
518,1429,19,111,2024-09-26,26.08
519,7585,1,6,2024-10-25,39.61
520,9167,21,124,2024-01-29,28.82
521,6930,23,133,2024-11-19,44.51
522,3150,30,180,2024-11-22,13.76
523,3520,33,194,2024-08-24,18.18
524,9871,35,206,2024-12-11,18.44
525,6717,6,31,2024-03-31,24.82
526,4496,5,25,2024-11-06,37.68
527,5608,32,192,2024-05-11,18.60
528,3228,9,51,2024-09-03,25.29
529,5754,38,223,2024-02-03,58.30
530,9230,40,236,2024-07-01,22.47
531,3521,14,84,2024-07-17,17.58
532,4642,39,232,2024-05-22,15.02
533,735,32,192,2024-01-27,17.26
534,3304,12,72,2024-06-10,23.48
535,9422,34,200,2024-11-01,27.76
536,2395,21,123,2024-11-02,11.33
537,2371,26,156,2024-02-02,24.39
538,4962,47,280,2024-04-16,26.97
539,9267,48,285,2024-06-05,45.37
540,9504,34,200,2024-12-05,31.51
541,7165,24,143,2024-06-12,21.26
542,5598,41,242,2024-02-28,31.85
543,9142,8,43,2024-03-27,20.82
544,8997,6,36,2024-05-04,27.53
545,6457,28,165,2024-07-16,25.14
546,2166,8,46,2024-02-02,10.42
547,8945,45,269,2024-02-29,34.12
548,758,27,159,2024-02-22,18.79
549,5375,2,12,2024-05-29,28.94
550,3041,40,240,2024-08-01,24.49
551,5559,47,279,2024-10-29,8.93
552,3582,17,101,2024-08-25,16.29
553,2725,32,192,2024-06-03,24.26
554,9500,10,57,2024-04-30,19.16
555,5200,31,186,2024-12-04,55.22
556,4486,11,65,2024-06-19,8.62
557,6044,18,104,2024-04-14,18.40
558,7974,40,236,2024-08-19,16.12
559,9718,45,265,2024-05-08,25.56
560,1197,42,247,2024-02-11,42.72
561,6110,46,272,2024-12-21,20.06
562,4579,37,220,2024-01-11,70.95
563,6261,49,293,2024-07-08,12.23
564,4366,15,90,2024-09-05,12.01
565,8282,27,159,2024-11-15,25.61
566,6786,18,106,2024-03-14,21.58
567,3432,43,258,2024-01-18,19.67
568,4366,21,126,2024-08-13,19.23
569,6829,39,232,2024-05-30,15.68
570,3644,41,243,2024-10-05,24.73
571,3021,28,167,2024-07-06,12.83
572,6753,29,169,2024-11-10,29.71
573,1456,47,278,2024-06-29,17.08
574,1180,31,185,2024-02-25,26.02
575,3731,32,192,2024-01-01,5.00
576,2010,37,220,2024-09-14,22.56
577,2431,25,145,2024-11-02,25.52
578,1587,19,112,2024-11-09,23.70
579,9581,34,199,2024-11-19,26.36
580,1926,35,208,2024-04-04,32.79
581,1326,39,231,2024-10-19,32.07
582,7744,16,93,2024-09-14,25.90
583,2942,30,178,2024-09-26,27.14
584,8733,11,61,2024-11-06,15.36
585,9055,27,159,2024-11-25,42.87
586,756,10,57,2024-11-15,19.70
587,4694,22,131,2024-03-02,60.39
588,5103,40,238,2024-07-09,13.90
589,7623,16,95,2024-01-11,54.39
590,5171,41,242,2024-05-19,20.50
591,2050,16,93,2024-11-05,29.71
592,334,19,112,2024-10-26,16.54
593,1411,3,13,2024-07-16,60.15
594,6722,46,271,2024-10-13,38.62
595,1268,31,182,2024-01-23,59.04
596,4067,17,101,2024-02-21,19.21
597,8032,23,134,2024-12-23,12.42
598,1889,41,244,2024-03-25,31.23
599,4814,44,262,2024-10-28,16.00
600,382,7,38,2024-07-09,20.87
601,5927,5,25,2024-01-22,22.79
602,7429,15,87,2024-06-10,57.01
603,7872,32,191,2024-05-26,12.42
604,9809,7,42,2024-03-12,30.18
605,2550,26,156,2024-03-23,57.81
606,174,26,152,2024-06-11,24.35
607,8904,30,178,2024-11-23,22.27
608,1453,18,106,2024-04-02,13.65
609,3386,26,151,2024-09-26,44.02
610,6021,46,274,2024-07-16,14.25
611,1968,27,157,2024-08-19,23.11
612,7904,10,60,2024-03-19,30.06
613,9751,4,19,2024-05-15,29.77
614,4935,13,75,2024-03-17,19.20
615,5450,15,88,2024-05-08,17.88
616,3222,29,172,2024-02-17,41.42
617,4950,47,281,2024-09-08,28.50
618,1571,13,74,2024-11-24,10.75
619,5453,32,192,2024-02-10,21.91
620,3217,18,108,2024-12-22,23.94
621,4454,6,35,2024-10-04,43.95
622,2996,10,55,2024-01-24,41.20
623,5256,8,47,2024-06-30,18.01
624,7499,38,226,2024-08-24,62.24
625,16,49,290,2024-07-27,40.40
626,6524,36,214,2024-06-22,60.32
627,3038,10,58,2024-12-08,51.82
628,733,36,212,2024-10-18,18.28
629,7818,11,65,2024-03-02,12.23
630,1346,20,120,2024-05-09,25.44
631,7787,1,2,2024-01-15,55.35
632,8482,29,169,2024-10-16,20.42
633,4361,33,198,2024-04-26,32.43
634,3657,2,11,2024-08-20,21.50
635,8144,12,70,2024-01-20,23.44
636,1255,39,233,2024-09-11,25.10
637,2209,43,255,2024-11-18,13.82
638,1324,14,80,2024-05-13,39.23
639,9624,9,49,2024-01-29,15.49
640,5954,11,63,2024-04-18,27.24
641,3115,49,290,2024-06-10,66.22
642,8772,17,102,2024-12-22,8.87
643,7831,18,108,2024-03-10,23.56
644,2599,43,258,2024-05-02,34.90
645,4852,45,269,2024-03-14,5.67
646,9353,34,201,2024-09-02,31.20
647,8175,5,28,2024-04-14,9.72
648,5825,38,228,2024-01-08,17.02
649,4655,9,54,2024-08-03,33.30
650,989,6,35,2024-05-03,55.27
651,9468,22,132,2024-07-30,30.54
652,481,9,54,2024-03-09,10.04
653,6088,34,202,2024-09-19,25.88
654,1140,17,99,2024-10-20,22.06
655,4122,24,144,2024-04-07,28.04
656,542,19,114,2024-12-01,18.31
657,1627,37,219,2024-06-28,17.53
658,3875,2,11,2024-05-14,15.32
659,980,12,72,2024-10-14,20.81
660,8356,13,75,2024-07-18,38.41
661,8762,27,158,2024-02-20,20.72
662,2789,18,103,2024-09-01,37.60
663,8020,16,96,2024-03-04,12.93
664,4133,36,212,2024-05-25,68.16
665,6087,26,153,2024-04-01,18.52
666,2359,7,41,2024-05-21,26.72
667,713,37,221,2024-12-07,27.00
668,8223,4,22,2024-09-01,27.99
669,9925,24,141,2024-06-21,38.28
670,9019,8,46,2024-06-19,19.04
671,328,38,223,2024-09-21,46.28
672,9478,32,188,2024-09-30,26.72
673,2210,12,70,2024-07-14,65.24
674,6645,36,214,2024-08-26,31.75
675,9597,44,260,2024-02-25,18.30
676,5462,29,171,2024-11-07,27.26
677,9354,17,102,2024-09-15,44.14
678,8517,15,87,2024-12-23,24.22
679,4949,18,108,2024-08-19,18.27
680,4063,11,66,2024-12-11,17.07
681,6726,5,27,2024-01-30,31.81
682,9558,48,287,2024-05-08,18.93
683,5737,43,257,2024-01-18,19.45
684,1354,9,51,2024-06-11,19.28
685,6383,21,122,2024-07-12,25.66
686,5992,42,248,2024-08-17,32.05
687,2077,37,222,2024-01-15,21.57
688,2774,44,260,2024-09-26,11.57
689,8763,15,89,2024-10-15,12.13
690,4173,45,266,2024-12-03,65.91
691,6843,36,213,2024-11-29,39.56
692,1520,13,75,2024-01-30,44.30
693,7561,18,103,2024-03-20,34.15
694,7455,7,40,2024-06-01,29.56
695,2485,14,82,2024-09-09,25.97
696,8708,4,19,2024-06-15,30.46
697,8533,49,294,2024-05-25,21.50
698,1610,18,104,2024-11-05,62.45
699,8806,21,126,2024-03-11,51.53
700,8571,37,222,2024-06-17,34.00
